Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Total_Cost,Profit,Year,Month
1052,2023-02-03,Bob,north,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,2749.5,2304.4700000000003,2023,2
1093,2023-04-21,Bob,west,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,64878.63,-60494.61,2023,4
1015,2023-09-21,David,south,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,7846.8,-3215.5700000000006,2023,9
1072,2023-08-24,Bob,south,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,168871.16999999998,-166703.22999999998,2023,8
1061,2023-03-24,Charlie,east,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,8285.81,-4535.61,2023,3
1021,2023-02-11,Charlie,west,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,28825.28,-25064.129999999997,2023,2
1083,2023-04-11,Bob,west,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,69855.49,-69237.18000000001,2023,4
1087,2023-01-06,Eve,south,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,170315.46000000002,-162616.54,2023,1
1075,2023-06-29,David,south,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,22141.8,-17918.41,2023,6
1075,2023-10-09,Charlie,west,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,40110.299999999996,-31870.719999999994,2023,10
1088,2023-11-16,Eve,north,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,31721.43,-23202.98,2023,11
1100,2023-08-14,Bob,west,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob,47334.829999999994,-45136.09,2023,8
1024,2023-11-11,Eve,west,6607.8,21,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail,West-Eve,13062.21,-6454.409999999999,2023,11
1003,2023-12-31,Alice,south,4775.59,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online,South-Alice,125708.4,-120932.81,2023,12
1022,2023-08-17,Charlie,south,8813.55,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,South-Charlie,53281.2,-44467.649999999994,2023,8
1053,2023-10-16,Bob,north,2235.83,48,Furniture,121.19,487.65,New,0.18,Cash,Retail,North-Bob,5817.12,-3581.29,2023,10
1002,2023-05-30,David,north,6810.35,17,Furniture,4024.76,4420.150000000001,Returning,0.04,Cash,Online,North-David,68420.92,-61610.57,2023,5
1088,2023-10-04,Bob,east,6116.75,40,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,East-Bob,196197.2,-190080.45,2023,10
1030,2023-07-17,David,west,3023.48,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,West-David,57937.27,-54913.78999999999,2023,7
1038,2023-03-11,Bob,south,1452.35,15,Clothing,2543.36,2790.1000000000004,Returning,0.07,Cash,Online,South-Bob,38150.4,-36698.05,2023,3
1002,2023-04-22,Eve,north,6551.23,9,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,North-Eve,39583.44,-33032.21000000001,2023,4
1064,2023-01-04,Eve,east,7412.11,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve,47649.6,-40237.49,2023,1
1060,2023-12-16,Eve,east,3224.71,44,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail,East-Eve,166538.24,-163313.53,2023,12
1021,2023-11-27,Alice,south,6483.84,31,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online,South-Alice,69904.68999999999,-63420.84999999999,2023,11
1033,2023-11-14,David,south,4011.8,23,Furniture,2981.5,3360.4,Returning,0.22,Bank Transfer,Retail,South-David,68574.5,-64562.7,2023,11
1076,2023-12-16,Eve,east,7160.75,30,Clothing,3519.63,3774.65,New,0.2,Credit Card,Retail,East-Eve,105588.90000000001,-98428.15000000001,2023,12
1058,2023-04-05,Alice,north,2072.23,33,Furniture,1011.65,1084.28,Returning,0.07,Bank Transfer,Retail,North-Alice,33384.45,-31312.219999999998,2023,4
1022,2023-06-01,David,east,8913.13,9,Electronics,2263.65,2558.9500000000003,New,0.03,Cash,Online,East-David,20372.850000000002,-11459.720000000003,2023,6
1089,2023-11-07,Bob,west,2945.36,47,Furniture,4157.62,4314.56,New,0.17,Bank Transfer,Retail,West-Bob,195408.13999999998,-192462.78,2023,11
1049,2023-05-17,Alice,west,3741.08,1,Furniture,3290.89,3317.75,Returning,0.17,Bank Transfer,Online,West-Alice,3290.89,450.19000000000005,2023,5
1091,2023-09-04,Charlie,south,675.11,44,Food,2085.46,2406.58,Returning,0.06,Bank Transfer,Retail,South-Charlie,91760.24,-91085.13,2023,9
1059,2023-08-31,Alice,north,1203.97,35,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online,North-Alice,116677.4,-115473.43,2023,8
1042,2023-01-31,Alice,north,5207.03,11,Food,635.2,814.1400000000001,Returning,0.02,Cash,Online,North-Alice,6987.200000000001,-1780.170000000001,2023,1
1092,2023-02-09,David,west,2749.17,34,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online,West-David,69271.94,-66522.77,2023,2
1060,2023-08-17,Bob,east,8371.25,16,Clothing,3975.99,4422.59,New,0.24,Cash,Online,East-Bob,63615.84,-55244.59,2023,8
1080,2023-02-05,Charlie,south,245.46,9,Electronics,1141.52,1550.19,New,0.28,Credit Card,Retail,South-Charlie,10273.68,-10028.220000000001,2023,2
1015,2023-08-11,Eve,east,3853.03,32,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail,East-Eve,31056.32,-27203.29,2023,8
1062,2023-01-06,Eve,east,3439.72,15,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online,East-Eve,71348.25,-67908.53,2023,1
1062,2023-11-18,Alice,east,291.34,12,Furniture,1088.99,1545.0,Returning,0.04,Bank Transfer,Retail,East-Alice,13067.880000000001,-12776.54,2023,11
1047,2023-08-08,David,north,1331.25,33,Electronics,1341.55,1427.21,Returning,0.15,Credit Card,Online,North-David,44271.15,-42939.9,2023,8
1062,2023-03-16,David,west,4195.06,45,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online,West-David,218232.00000000003,-214036.94000000003,2023,3
1051,2023-01-04,Eve,north,4979.36,14,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,North-Eve,51615.34,-46635.979999999996,2023,1
1055,2023-12-01,Charlie,west,4102.47,8,Furniture,3513.0,3838.42,Returning,0.13,Bank Transfer,Online,West-Charlie,28104.0,-24001.53,2023,12
1064,2023-05-14,Bob,south,5356.28,8,Electronics,4271.99,4417.79,Returning,0.04,Cash,Online,South-Bob,34175.92,-28819.64,2023,5
1003,2023-04-28,Charlie,south,5991.8,27,Furniture,623.32,853.6600000000001,Returning,0.04,Cash,Online,South-Charlie,16829.640000000003,-10837.840000000004,2023,4
1051,2023-04-04,Bob,east,198.25,12,Electronics,3544.48,3723.66,Returning,0.19,Cash,Online,East-Bob,42533.76,-42335.51,2023,4
1007,2023-03-03,Eve,west,4694.54,1,Food,2543.26,2637.9100000000003,Returning,0.2,Credit Card,Online,West-Eve,2543.26,2151.2799999999997,2023,3
1021,2023-07-13,Bob,west,9638.64,43,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail,West-Bob,178634.9,-168996.26,2023,7
1073,2023-12-01,David,west,5238.42,40,Furniture,2565.3,3007.4700000000003,Returning,0.17,Credit Card,Retail,West-David,102612.0,-97373.58,2023,12
1039,2023-07-22,Alice,east,6807.67,42,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail,East-Alice,131047.98,-124240.31,2023,7
1018,2023-01-26,Alice,east,3187.45,11,Clothing,2414.82,2519.07,Returning,0.0,Cash,Online,East-Alice,26563.02,-23375.57,2023,1
1004,2023-06-22,Eve,south,7762.51,39,Electronics,2416.89,2778.4,Returning,0.05,Cash,Online,South-Eve,94258.70999999999,-86496.2,2023,6
1089,2023-10-27,David,north,7751.92,43,Furniture,3851.45,4186.98,Returning,0.3,Credit Card,Online,North-David,165612.35,-157860.43,2023,10
1060,2023-05-13,Charlie,west,5260.83,31,Electronics,3161.4,3339.66,Returning,0.02,Bank Transfer,Online,West-Charlie,98003.40000000001,-92742.57,2023,5
1014,2023-11-22,David,west,9762.54,17,Food,3184.65,3204.01,New,0.2,Bank Transfer,Online,West-David,54139.05,-44376.51,2023,11
1009,2023-04-28,Alice,north,1342.95,33,Clothing,2278.9,2626.9,New,0.05,Credit Card,Online,North-Alice,75203.7,-73860.75,2023,4
1090,2023-11-20,Alice,west,267.78,32,Electronics,2678.99,3152.28,Returning,0.22,Cash,Retail,West-Alice,85727.68,-85459.9,2023,11
1053,2023-10-02,David,east,7724.57,29,Electronics,3741.3,4061.04,Returning,0.21,Credit Card,Online,East-David,108497.70000000001,-100773.13,2023,10
1002,2023-07-31,David,east,8090.84,21,Clothing,4138.41,4361.7,Returning,0.07,Credit Card,Retail,East-David,86906.61,-78815.77,2023,7
1084,2023-08-13,Alice,west,1290.05,21,Furniture,3497.98,3765.31,New,0.08,Cash,Online,West-Alice,73457.58,-72167.53,2023,8
1092,2023-01-20,Charlie,east,2729.27,40,Electronics,4624.16,4731.98,New,0.2,Bank Transfer,Retail,East-Charlie,184966.4,-182237.13,2023,1
1060,2023-04-23,Eve,east,273.77,23,Clothing,4110.6,4488.370000000001,New,0.12,Credit Card,Online,East-Eve,94543.8,-94270.03,2023,4
1071,2023-05-20,Eve,west,3003.76,6,Furniture,2831.23,3206.98,Returning,0.06,Bank Transfer,Retail,West-Eve,16987.38,-13983.62,2023,5
1044,2023-02-16,David,south,7754.1,22,Food,3373.46,3454.76,Returning,0.22,Bank Transfer,Retail,South-David,74216.12,-66462.01999999999,2023,2
1008,2023-01-01,Eve,north,5227.81,38,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online,North-Eve,176138.74,-170910.93,2023,1
1047,2023-03-31,Alice,east,3546.15,37,Electronics,3114.88,3256.78,Returning,0.26,Credit Card,Online,East-Alice,115250.56,-111704.41,2023,3
1035,2023-05-22,Alice,south,3780.22,45,Food,4132.79,4624.1,New,0.15,Credit Card,Retail,South-Alice,185975.55,-182195.33,2023,5
1078,2023-11-16,David,east,113.4,8,Furniture,3459.61,3657.23,Returning,0.03,Bank Transfer,Online,East-David,27676.88,-27563.48,2023,11
1081,2023-02-07,David,east,3068.03,41,Furniture,2782.08,2879.24,New,0.21,Bank Transfer,Online,East-David,114065.28,-110997.25,2023,2
1036,2023-10-20,David,north,6499.94,49,Clothing,1247.1,1429.4399999999998,New,0.16,Cash,Online,North-David,61107.899999999994,-54607.95999999999,2023,10
1050,2023-05-19,Charlie,east,9744.52,35,Clothing,2158.69,2384.38,Returning,0.09,Bank Transfer,Retail,East-Charlie,75554.15000000001,-65809.63,2023,5
